(Ashwattha tree) ripe fruit	(অশ্বত্থ গাছের) পাকা ফল
Unrestricted	অনিরুদ্ধ
Indecision	অনির্ণয়
Seedless pork	অনির্বীজকৃত শুয়োর
Anil	অনিল
Anil Sakha	অনিলসখা
Anilatmaj	অনিলাত্মজ
Uncertain	অনিশ্চিত
Prohibited	অনিষিদ্ধ
Evil	অনিষ্ট
Evil thoughts	অনিষ্ট চিন্তা
Harmful disaster	অনিষ্টকারী বিপর্যয়
Reluctance	অনিহা
Uncontrolled	অনিয়ন্ত্রণ
Irregularities	অনিয়ম
Anik	অনীক
Anikini	অনীকিনী
Immorality	অনীতি
Reluctance	অনীহা
Anuk	অনুক
Compassion	অনুকম্পা
Imitation	অনুকরণ
Imitator	অনুকরণকারী
Imitation	অনুকরণবৃত্তি
Imitator	অনুকর্তা
Gravity	অনুকর্ষ
Gravity	অনুকর্ষণ
Imitator	অনুকারক
Imitator	অনুকারী
Favorable	অনুকূল
Favorable word	অনুকূল বচন
Convenience	অনুকূলতা
Favorable	অনুকূলা
Imitation	অনুকৃতি
Unspoken	অনুক্ত
Imitation	অনুক্তি
Sequence	অনুক্রম
Index	অনুক্রমণিকা
Hierarchy	অনুক্রমহীনতা
Sequentially	অনুক্রমিকভাবে
Follow up	অনুগমন
Followers	অনুগামী
Followed	অনুগীত
Obedience	অনুগীতা
Multiplication	অনুগুণ
Please	অনুগ্রহ
The catastrophe	অনুঘটন
Attendant	অনুচর
Attendant class	অনুচর বর্গ
Followers	অনুচরগণ
Follower	অনুচরী
Anuchan	অনুচান
Improper policy	অনুচিত নীতি
No worries	অনুচিন্তা
Paragraph	অনুচ্ছেদ
Young	অনুজ
Anuja	অনুজা
Anujata	অনুজাতা
Permission	অনুজ্ঞা
License	অনুজ্ঞা-পত্র
License	অনুজ্ঞাপত্র
Licensing	অনুজ্ঞাপ্রদানকারী
Anuradha	অনুঢ়া
Repentance	অনুতাপ
Satisfaction	অনুতোষ
Unanswered	অনুত্তরিত
Repentance	অনুত্পত্তি
Unproduction	অনুত্পাদন
Grants	অনুদান
Translated work	অনুদিত কৃতি
Instructions	অনুদেশ
Unaware	অনুদ্ধার
Unexplained	অনুদ্বাহ
Anxiety	অনুদ্বেগ
Indulgence	অনুদ্যোগ
Indifferent	অনুদ্যোগী
Grant	অনুদয়
Realization	অনুধাবন
Meditation	অনুধ্যান
Nasal congestion	অনুনাসিকতা
Policy	অনুনীতি
Please	অনুনয়
Anup	অনুপ
Anuppur	অনুপপুর
Anuppur district	অনুপপুর জেলা
Anuppur city	অনুপপুর শহর
Unsuccessful	অনুপবিত
Inadequate	অনুপযশ
Inappropriate	অনুপযুক্ত
Improper time	অনুপযুক্ত সময়
Inadequacy	অনুপযুক্ততা
Inadequacy	অনুপযোগিতা
Absence	অনুপস্থিতি
Ratio	অনুপাত.দর
Proportion	অনুপান
Compliance	অনুপালন
Discipline	অনুপাসন
Supplementary	অনুপূরক
Compensation	অনুপূরণ
Anupurbavatsa cow	অনুপূর্ববত্সা গাভী
Anupurba (wife)	অনুপূর্বা (স্ত্রী)
Penetration	অনুপ্রবেশ
Intruder	অনুপ্রবেশকারী
Inspiration	অনুপ্রাশন
Alliteration	অনুপ্রাস
Alliteration ornaments	অনুপ্রাস অলঙ্কার
