 Stranger	 अजनबी
75th year	75वाँ साल
75th	75वां
75th year	75वां वर्ष
75th year	75वां साल
76	76
77	77
78	78
79	79
7th	7वाँ
7th	7वीं
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
8th	8वाँ
8th	8वीं
9	9
90	90
90th	90वाँ
90th year	90वाँ वर्ष
90th year	90वाँ साल
90th	90वां
90th year	90वां वर्ष
90th year	90वां साल
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
9th	9वाँ
9th	9वीं
A	A
A letter	A अक्षर
B	B
B letter	B अक्षर
I	I
II	II
III	III
IL	IL
IX	IX
IXL	IXL
L	L
O	O
O letter	O अक्षर
S	S
S letter	S अक्षर 
V	V
VI	VI
VII	VII
VIII	VIII
X	X
XI	XI
XII	XII
Xiv	XIV
Xix	XIX
Xl	XL
XLI	XLI
XLII	XLII
XLIII	XLIII
XLIV	XLIV
XLV	XLV
XLVI	XLVI
XLVII	XLVII
XLVIII	XLVIII
Xv	XV
XVI	XVI
XVII	XVII
XVIII	XVIII
XX	XX
XXI	XXI
XXII	XXII
XXIII	XXIII
XXIV	XXIV
XXIX	XXIX
XXV	XXV
XXVI	XXVI
XXVII	XXVII
XXVIII	XXVIII
XXX	XXX
XXXI	XXXI
XXXII	XXXII
XXXIII	XXXIII
XXXIV	XXXIV
XXXV	XXXV
XXXVI	XXXVI
XXXVII	XXXVII
XXXVIII	XXXVIII
a	a
a letter	a अक्षर
b	b
b letter	b अक्षर
o	o
o letter	o अक्षर
s	s
s letter	s अक्षर
ँ	ँ
a	अ
Andi	अँअड़ी
Pinch	अँकटी
Data	अँकड़ा
Wink	अँकड़ाहट
Sprinkler	अँकड़ी
Ankara	अँकरा
Angry	अँकरी
Grapevine	अँकरोरी
Grapevine	अँकरौरी
Knuckle	अँकवार
Ankawaya	अँकवैया
One	अँकसी
Eye	अँकाई
Clap	अँकाव
Limp	अँकुड़ा
Ankle	अँकुड़ी
Pimple	अँकुसी
Grasp	अँकोड़ा
Score	अँकोर
Angkor	अँकोरी
Ankor	अँकौर
Clump grasshopper	अँखफोड़ टिड्डा
Cantilever	अँखफोड़वा
Angkha	अँखिया
Fingered	अँखुआ
Eyes	अँखुआँ
Ape	अँखोड़ा
Akhaura	अँखौड़ा
Angling	अँगड़ाई
Anganai	अँगनई
Angana	अँगना
Angangee	अँगनाई
Anganaiya	अँगनैया
Angkha	अँगरखा
Angry	अँगरी
English	अँगरेज
English	अँगरेजिन
English	अँगरेजी
English language	अँगरेजी भाषा
The finger	अँगलेट
Angkari	अँगाकरि
Ring finger	अँगिका
Angia	अँगिया
Angira	अँगिरा
Angra Rishi	अँगिरा ऋषि
Song	अँगीठा
Ring	अँगीठी
Anguria	अँगुरिया
Finger	अँगुली
Angusi	अँगुसी
Thumb	अँगूठा
Thumb impression	अँगूठा छाप
The ring	अँगूठी
Angate	अँगेट
Angethi	अँगेठी
Angethu	अँगेथू
Scrub	अँगोछा
Fingerprint	अँगोछी
Angot	अँगोट
Angora	अँगोरा
Angola	अँगोला
Angounga	अँगौंगा
Angoria	अँगौरिया
Britishism	अँग्रेजवाद
Englishism	अँग्रेज़वाद
English	अँग्रेज़ियत
English	अँग्रेजियत
Angvilla	अँग्विला
Thunder	अँघड़ा
Anchara	अँचरा
Anchala	अँचला
Achar	अँचार
Anjali	अँजली
Anjuri	अँजुरी
Anjor	अँजोर
Anjora	अँजोरा
Anjoria	अँजोरिया
Antia	अँटिया
The last	अँटी
Blind	अँठई
Thorny	अँठली
Egg	अँडिया
Egg	अँडुआ
Last	अँतड़ी
The end	अँतरा
Antaria	अँतरिया
Endrout	अँतरौटा
Cold	अँथऊ
Darkness	अँधरिया
Blind	अँधला
Dark	अँधियार
Dark	अँधियारा
Blind	अँधियारी
Dark night	अँधियारी रात
Dark	अँधियाला
Blindness	अँधियाव
The dark	अँधेर
Blind account	अँधेर-खाता
Dark	अँधेरा
Dark room	अँधेरा कमरा
Dark side	अँधेरा पक्ष
Dark loop	अँधेरा पाख
Darkness	अँधेरिया
Dark	अँधेरी
Dark night	अँधेरी रात
Black and white	अँधौरी
Ambati	अँबती
Cambrai	अँबराई
Ambari	अँबारी
Ambia	अँबिया
Ambati	अँबोती
Aambhuri	अँभौरी
Febrile	अँसुवन
And	अं
numbers	अंक
Numeral math	अंक गणित
Numerology	अंक ज्योतिष
Mark sheet	अंक तालिका
Mark sheet	अंक पत्र
Numerology	अंक विद्या
Mathematics	अंक शास्त्र
Arithmetic	अंक-गणित
Numerology	अंक-ज्योतिष
Mark sheet	अंक-तालिका
Mark sheet	अंक-पत्र
Score sheet	अंक-फलक
Numerology	अंक-विद्या
Score increase	अंक-वृद्धि
Mathematics	अंक-शास्त्र
Mark list	अंक-सूची
Numerator	अंकक
Arithmetic	अंकगणित
Numerical	अंकटी
Numeral	अंकड़ा
Mark sheet	अंकतालिका
Notation	अंकन
Mark sheet	अंकपत्र
Marksheet	अंकपत्रक
Board	अंकफलक
Ankara	अंकरा
Ankari	अंकरी
Numerology	अंकविद्या
Growth	अंकवृद्धि
Mathematics	अंकशास्त्र
Ankasi	अंकसी
Mark sheet	अंकसूची
Ankai	अंकाई
Ankara	अंकारा
Record	अंकाव
Arithmetic	अंकित्र
Digital computer	अंकीय संगणक
Hook	अंकुड़ा
sprout	अंकुर
Sprout	अंकुरक
Germination	अंकुरण
Germination point	अंकुरण बिंदु
Curb	अंकुश
Mark	अंकुसी
Auditor	अंकेक्षक
Audit	अंकेक्षण
Ankot	अंकोट
Ankora	अंकोड़ा
Ankor	अंकोर
Ankori	अंकोरी
Ankole	अंकोल
Ankur	अंकौर
Ankhia	अंखिया
Ankhua	अंखुआ
Ankhuyan	अंखुआं
Part	अंग
Organ implantation	अंग आरोपण
Part effort	अंग चेष्टा
Organ suffix	अंग प्रत्यंग
Organ mass	अंग मर्दन
Organ rubbing	अंग मलाई
Organ posture	अंग मुद्रा
Organ disorder	अंग विकार
Limb deformity	अंग विकृति
Limb deflection	अंग विक्षेप
Organ science	अंग विज्ञान
Linguistics	अंग विद्या
Organ group	अंग समूह
Organ augmentation	अंग सम्मर्दन
Organ	अंग-अंग
Ambush	अंग-घात
Limbs	अंग-प्रत्यंग
Organ protection	अंग-रक्षा
Organ disorder	अंग-विकार
Deformity	अंग-विकृति
Limb deflection	अंग-विक्षेप
Organ operation	अंग-संचालन
Mask	अंगक
Hamstring	अंगघात
Amputation	अंगच्छेद
Amputator	अंगच्छेदक
Amputation	अंगच्छेदन
Amputation	अंगछेद
Amputator	अंगछेदक
Amputation	अंगछेदन
Part	अंगज
Organ	अंगजात
Ruckus	अंगड़-खंगड़
yawn	अंगड़ाई
Emblem	अंगत्राण
Angad	अंगद
Angad Dev	अंगद देव
Organ	अंगदेश
Angan	अंगन
Anganai	अंगनई
To partake	अंगना
Thimble	अंगनाई
Anganaiya	अंगनैया
Renunciation	अंगन्यास
Mutilation	अंगभंग
Angamari	अंगमारी
Bodyguard	अंगरक्षक
Bodyguard	अंगरक्षा
Bodyguard	अंगरक्षी
Tunic	अंगरखा
Cosmetic	अंगराग
Angaraj	अंगराज
Ember	अंगरी
English	अंगरेज
English	अंगरेजिन
English	अंगरेजी
English language	अंगरेजी भाषा
Anglet	अंगलेट
Demonstrator	अंगवाचक
Word of voice	अंगवाचक शब्द
Anglican	अंगवाची
Anglican	अंगविकार
Limb malformation	अंगविकृति
Amputation	अंगविच्छेद
Amputation	अंगविच्छेदन
Angiology	अंगविज्ञान
Theology	अंगशास्त्र
Mobilization	अंगसंचालन
Body guard	अंगसंरक्षी
Angstagram	अंगस्ट्राम
Angstagram unit	अंगस्ट्राम इकाई
Eating	अंगहार
Limbless	अंगहीन
Disability	अंगहीनता
Anga	अंगा
Angakadi	अंगाकड़ी
Angakari	अंगाकरि
Orgasm	अंगानुभूति
Angami	अंगामी
Angami tribe	अंगामी जनजाति
Ember	अंगार
Ember	अंगारक
Angarak Chaturthi	अंगारक चतुर्थी
Monotone	अंगारपर्ण
Ember	अंगारा
Ember	अंगारिणी
Ember	अंगारी
Planting	अंगारोपण
Camisole	अंगिया
Angiras	अंगिरस
Angiras Rishi	अंगिरस ऋषि
Angira	अंगिरा
Angira Rishi	अंगिरा ऋषि
Enamelled	अंगिरावृत
Angi	अंगी
Adoption	अंगीकरण
Adoption	अंगीकार
Acceptance	अंगीकृति
Brazier	अंगीठा
Fireplace	अंगीठी
Confessor	अंगीवाचक
Confessional word	अंगीवाचक शब्द
Brazier	अंगीवाची
Finger	अंगुल
Fingerprint	अंगुलबेढ़ा
The finger	अंगुली
Finger tips	अंगुली त्राण
Finger gesture	अंगुली संकेत
Thumb	अंगुश्त
Angushtanumai	अंगुश्तनुमाई
Angushtari	अंगुश्तरी
Thumbs down	अंगुश्ताना
Thumb	अंगुष्ठ
Thumb	अंगूठा
ring	अंगूठी
grapes	अंगूर
Grape juice	अंगूर रस
Grapevine	अंगूरशफा
Grapefruit	अंगूरशेफा
Angate	अंगेट
Amethi	अंगेठी
Toe	अंगोछा
Toe	अंगोछी
Angot	अंगोट
Angolan	अंगोलन
Angola	अंगोला
Angola	अंगोला वासी
Angola	अंगोला-वासी
Angolai	अंगोलाई
Angolan	अंगोलावासी
Angounga	अंगौंगा
Angouria	अंगौरिया
English	अंग्रेज
Britishism	अंग्रेजवाद
The english	अंग्रेज़
Britishism	अंग्रेज़वाद
English	अंग्रेज़िन
Englishness	अंग्रेज़ियत
The english	अंग्रेज़ी
English language	अंग्रेज़ी भाषा
English	अंग्रेजिन
Englishness	अंग्रेजियत
English	अंग्रेजी
English language	अंग्रेजी भाषा
English hawthorn	अंग्रेजी हावथार्न
Angwila	अंग्विला
Angada	अंघड़ा
Angri	अंघ्रि
Zone	अंचल
Fifty six	अंचवन
Anchor	अंछर
Anj	अंज
Anjan	अंजन
Anjanakeshi	अंजनकेशी
Anjanahari	अंजनहारी
Anjana	अंजना
Anjunasut	अंजनासुत
Anjani	अंजनी
Anjani Nandan	अंजनी नंदन
Anjaninandan	अंजनीनंदन
Strange	अंजबार
Stagger	अंजर-पंजर
Anjarpanjar	अंजरपंजर
Anjra	अंजरा
Anjal	अंजल
Anjali	अंजलि
Anjali Patra	अंजलि पात्र
Anjaliput	अंजलिपुट
Anjali	अंजली
Anjahi	अंजही
The result	अंजाम
Fig	अंजीर
Fig tree	अंजीर वृक्ष
Anjuman	अंजुमन
Anjuri	अंजुरी
Anjul	अंजुल
Anjuli	अंजुली
Anju	अंजू
Anjou	अंजॉ
Anjou district	अंजॉ ज़िला
Anjaw District	अंजॉ जिला
Anjor	अंजोर
Anjora	अंजोरा
Anja	अंझा
Anjhajhara	अंझाझारा
End shunt	अंट शंट
End sunt	अंट संट
Inter-shunt	अंट-शंट
End to end	अंट-संट
Antshunt	अंटशंट
Antsunt	अंटसंट
Anta	अंटा
Antarctic	अंटार्कटिक
Antarctic Zone	अंटार्कटिक जोन
Antarctica	अंटार्कटिका
Antarctica Continent	अंटार्कटिका महाद्वीप
Antia	अंटिया
Clew	अंटी
Oblique	अंटीतल
Antimar	अंटीमार
Anklet	अंठली
Ninety eight	अंठानबे
Ninety eight	अंठानवे
Fifty eight	अंठावन
Last	अंठी
Eggs	अंड
Egg shell	अंड कोश
Egg Fund	अंड कोष
Egg bund	अंड बंड
Egg shell	अंड-कोश
Egg shell	अंड-कोष
Egg bund	अंड-बंड
Scrotum	अंडकोश
Testicle	अंडकोष
Gooseberry	अंडखरबूजा
Ovarian	अंडग्रंथि
Egg	अंडजा
Egg	अंडबंड
Andaman Nicobar	अंडमान निकोबार
Andaman and Nicobar Islands	अंडमान निकोबार द्वीप समूह
Andamanese	अंडमानी
Underworld	अंडरवर्ल्ड
Under scrub	अंडवृत्त
Egg growth	अंडवृद्धि
egg	अंडा
Oval circle	अंडाकार वृत्त
Egg	अंडाणु
Ovary	अंडाशय
Eggs	अंडी
the ending	अंत
Last tense	अंत काल
End time	अंत समय
Interaction	अंत-क्रिया
Short-tempered	अंत-लघु
Internal body	अंतः शारीरिक भाग
Interstitial	अंतः सलिला
Conscience	अंतःकरण
Intersection	अंतःकोप
Encyclopedia	अंतःकोष
Interaction	अंतःक्रिया
Intake	अंतःग्रहण
Intermittent	अंतःपट
Obstruction	अंतःपटी
Interim	अंतःपरिधि
Harem	अंतःपुर
Inner guard	अंतःपुर रक्षक
Interpolation	अंतःपुरप्रचार
Inordinate	अंतःपुरिक
Anaphylaxis	अंतःपूजा
Intuited	अंतःप्रज्ञ
Intuition	अंतःप्रज्ञा
Intravenous	अंतःशरीर
Inaccuracy	अंतःशुद्धि
Inhalation	अंतःश्वसन
Intransitive	अंतःसंज्ञा
Finally	अंतःसत्वा
Intermittent	अंतःसार
Introspective	अंतःसुख
Endocrine gland	अंतःस्रावी ग्रंथि
Endocrine gland	अंतःस्रावी ग्रन्थि
the endocrine system	अंतःस्रावी तंत्र
the endocrine system	अंतःस्रावी-तंत्र
the endocrine system	अंतःस्रावीतंत्र
Internal	अंतःस्वेद
End time	अंतकाल
Interaction	अंतक्रिया
Difference	अंतर
Intimate	अंतरंग
Intimate secretary	अंतरंग सचिव
Intimacy	अंतरंगता
interracial marriage	अंतरजातीय विवाह
Internet	अंतरजाल
Transfer	अंतरण
International criminal police institution	अंतरराष्ट्रीय आपराधिक पुलिस संस्था
International Cricket Council	अंतरराष्ट्रीय क्रिकेट परिषद
International police	अंतरराष्ट्रीय पुलिस
International Business Machine Corporation	अंतरराष्ट्रीय व्यापार मशीन निगम
International labor organization	अंतरराष्ट्रीय श्रम संगठन
International labor organization	अंतरराष्ट्रीय श्रम-संगठन
International border	अंतरराष्ट्रीय सीमा
International frontier region	अंतरराष्ट्रीय सीमांत क्षेत्र
Antra	अंतरा
Conscience	अंतरात्मा
Intuition	अंतरानुभूति
Interval	अंतराल
Interval direction	अंतराल दिशा
Interval direction	अंतराल-दिशा
Interval	अंतरालदिक्
Interval	अंतरालदिशा
Inner	अंतरिंद्रिय
Inner	अंतरिक
Space	अंतरिक्ष
space Center	अंतरिक्ष केंद्र
Space station	अंतरिक्ष केन्द्र
Astronaut	अंतरिक्ष यात्री
Spacecraft	अंतरिक्ष यान
Space science	अंतरिक्ष विज्ञान
space Station	अंतरिक्ष स्टेशन
Astronaut	अंतरिक्ष-यात्री
Space science	अंतरिक्ष-विज्ञान
Spacecraft	अंतरिक्षयान
Space science	अंतरिक्षविज्ञान
Spaceless	अंतरिक्षसत्
Transferor	अंतरितक
Transferee	अंतरिती
The end	अंतरी
Space	अंतरीक
At last	अंतरीप
Inland	अंतरीय
Interstitial clothing	अंतरीय वस्त्र
Introuta	अंतरौटा
Under	अंतर्गतक
Inbound	अंतर्गति
Inner passage	अंतर्गांधार
Ingestion	अंतर्ग्रह
Ingestion	अंतर्ग्रहण
Accident	अंतर्घट
Intuition	अंतर्चितवन
Intuition	अंतर्ज्ञान
Intermittent	अंतर्ज्योति
Intuition	अंतर्दशा
Intermediary	अंतर्दशाह
Inner direction	अंतर्दिशा
Insight	अंतर्दृष्टि
Foreign	अंतर्देशी
Foreign paper	अंतर्देशी पत्र
Inland	अंतर्देशीय
Inland letter	अंतर्देशीय पत्र
Intervention	अंतर्द्धान
Gateway	अंतर्द्वार
Ingestion	अंतर्धान
Undercurrent	अंतर्धारा
Intravenous	अंतर्ध्यान
Implied meaning	अंतर्निहित अर्थ
Implicit sentiment	अंतर्निहित भाव
Intermittent	अंतर्पट
Intuition	अंतर्बोध
Core	अंतर्भाग
Intuition	अंतर्भाव
Intuition	अंतर्भावना
Inbound	अंतर्भूमि
Inner	अंतर्मन
Intermediate	अंतर्मल
Opposite	अंतर्मुख
Embedded	अंतर्मृत
Intermediate	अंतर्यामी
Interoperability	अंतर्योग
International energy agency	अंतर्राष्ट्रीय ऊर्जा अभिकरण
International Energy Agency	अंतर्राष्ट्रीय ऊर्जा एजेंसी
International Cricket Council	अंतर्राष्ट्रीय क्रिकेट परिषद
International Letter	अंतर्राष्ट्रीय पत्र
International Atomic Energy Agency	अंतर्राष्ट्रीय परमाणु ऊर्जा अभिकरण
International Atomic Energy Agency	अंतर्राष्ट्रीय परमाणु ऊर्जा एजेंसी
International border	अंतर्राष्ट्रीय सीमा
International frontier region	अंतर्राष्ट्रीय सीमांत क्षेत्र
Backlash	अंतर्लंब
Diaphragm	अंतर्लापिका
Inveterate	अंतर्वती
Introspection	अंतर्वत्नी
Inner class	अंतर्वर्ग
Contents	अंतर्वस्तु
Intercommercial	अंतर्वाणिज्य
Interleave	अंतर्वाणी
Vapor	अंतर्वाष्प
Interstitial	अंतर्विकार
Intermarriage	अंतर्विवाह
Introversion	अंतर्वेग
Intercostal	अंतर्वेगीज्वर
Internal	अंतर्वेद
Interpolation	अंतर्वेदना
Sensitive	अंतर्वेदी
Intrusion	अंतर्वेध
Interpersonal	अंतर्वेशिक
Interpolation	अंतर्वेश्म
Interpersonal	अंतर्वेश्मिक
Intimidation	अंतर्हास
Last	अंतलघु
Invertebrate	अंतवर्ण
Discovery	अंतविदारण
Antarctica	अंतवेला
Intestine	अंतशय्या
Final	अंतश्छद
End	अंतश्छद्
End	अंतसद्
Last time	अंतसमय
In the end	अंतस्
Intercourse	अंतस्ताप
Antastha	अंतस्थ
Embodied character	अंतस्थ वर्ण
Inhalation	अंतस्नान
Intercostal	अंतस्सलिला
Antakshari	अंताक्षरी
International Cricket Council	अंताराष्ट्रीय क्रिकेट परिषद
International border	अंताराष्ट्रीय सीमा
Antavari	अंतावरी
Intermittent	अंतावशायी
Entrepreneur	अंतावसायी
The end	अंतिक
Fineness	अंतिकता
ultimate challenge	अंतिम चुनौती
Ultimatum	अंतिम चेतावनी
Final decisive game	अंतिम निर्णायक खेल
last journey	अंतिम यात्रा
Last character	अंतिम वर्ण
Funeral	अंतिम संस्कार
Last Time	अंतिम समय
Last period	अंतिमकाल
last journey	अंतिमयात्रा
Lastsafar	अंतिमसफर
Ultimatum	अंतिमेत्थम
Ultimatham	अंतिमेत्थम्
Antewar	अंतेवर
Native	अंतेवासी
Funerals	अंत्यकर्म
Antyaj	अंत्यज
Cremation	अंत्यभ
The final age	अंत्ययुग
Antony	अंत्ययोनि
Antivarna	अंत्यवर्ण
Decolonization	अंत्यविदारण
Endipula	अंत्यविपुला
The end	अंत्या
Endpoint	अंत्याक्षर
Funerary	अंत्याक्षरी
Rhyming	अंत्यानुप्रास
End businessman	अंत्यावसायी
Funerals	अंत्येष्टि
Cremation ceremony	अंत्येष्टि संस्कार
burial site	अंत्येष्टि स्थल
Entra	अंत्र
Necrosis	अंत्रकूजन
Entrapment	अंत्रप्रदाह
Endothelium	अंत्रवृद्धि
Bacillus enlargement	अंत्रांडवृद्धि
Antralji	अंत्रालजी
Antri	अंत्री
Andaman Nicobar	अंदमान निकोबार
Andaman Nicobar Islands	अंदमान निकोबार द्वीप समूह
In	अंदरसा
Style	अंदाज
Style belt	अंदाजपट्टी
Style	अंदाजपीटी
style	अंदाज़
Design board	अंदाज़पट्टी
Speculation	अंदाज़पीटी
Guess	अंदाज़ा
Guess	अंदाजा
Egg	अंदु
Andua	अंदुआ
Fear	अंदेशा
Andor	अंदोर
Movement	अंदोलन
Andoh	अंदोह
Blind	अंध
Dark room	अंध कक्ष
Blind eye	अंध तमिस्र
Dark tradition	अंध परंपरा
Blind devotion	अंध भक्ति
Dark tradition	अंध-परंपरा
blind faith	अंध-विश्वास
Superstitious	अंध-विश्वासी
Blind	अंधक
Blind monk	अंधक मुनि
Andhkamuni	अंधकमुनि
Darkness	अंधकार
dark Age	अंधकार युग
Darkness	अंधकारवन
Darkness	अंधकारि
Blind	अंधकारी
The blind	अंधकूप
Dark hell	अंधकूप नरक
Dark house	अंधखोपड़ी
Hurricane	अंधड़
Darkest	अंधतमस
Blindness	अंधता
Blindness	अंधतामिस्र
Dark hell	अंधतामिस्र नरक
Superstitious	अंधपरंपरा
Blindfolding	अंधपूतनाग्रह
Blindfolded	अंधबक
Andhabai	अंधबाई
Blind point	अंधबिंदु
Blind faith	अंधभक्ति
The dark	अंधरा
Dark night	अंधरात्रि
Dark	अंधरी
Blight	अंधवायु
blind faith	अंधविश्वास
Superstitious	अंधविश्वासी
Blind	अंधस
Blind	अंधा
Blind star	अंधा तारा
Heron blind	अंधा बगुला
Blind snake	अंधा सर्प
Indiscriminate	अंधाधुंध
Lactation	अंधानुकरण
Blindfoldedness	अंधानुयायिता
Blindness	अंधापन
Blind	अंधार
Andheri	अंधारी
Blind eye	अंधाहुली
Andhika	अंधिका
Dark room	अंधियार कोठरी
Dark room	अंधियार-कोठरी
Dark	अंधियारा
Blind	अंधी
Blind	अंधु
Andhul	अंधुल
Andher	अंधेर
Blind account	अंधेर-खाता
Blindness	अंधेरगर्दी
dark	अंधेरा
dark room	अंधेरा कमरा
Andharaban	अंधेराबन
Andheria	अंधेरिया
