21st سينشري	21st Century
أمتكو	Amtco
أمرتير	Amartre
أمون	Amoun
أنابورنا سايلز	Annapurna Sales
أناستازيا بيفرلي هيلز	Anastasia Beverly Hills
أنجل كير	Angel Care
أندر آرمور	Under Armor
أندور-2	Andor-2
أندوير	Andoer
أنكور	Anchor
أنيق	Classy
أو أوزون	Or ozone
أو إتش بي أيه	Or HPA
أو تي في أو	Or TV or
أو جينيرال	Or general
أوبتيتيكت	Optect
أوبتيموم نيوتريشن	Optimum Nutrition
أوبسيديان	Obsidian
أوبو	Oppo
أوبيسوفت	Obesoft
أوت رايت جيمز	Outright Games
أوتاد	Pegs
أوديونك	Audionic
أورال دريم	Oral Dream
أوربن	Urban
أورفي	Orphy
أوركا	Orca
أوريون	Orion
أوزون	Ozone
أوسامس	USSMS
أوشن	Ocean
أوشن جلاسز	Ocean Glasss
أوفرا	Ofra
أوكتيك	Okteq
أوكسديو	Oxdio
أوكسيميتر	Oximeter
أوكي	Okay
أوكيولس	Oculus
أول كول	The first cole
أولابليكس	Olaplex
أولسنمارك	Olsenmark
أولمب	Olymp
أولويز	Always
أوميوين	Umewen
أونلي	Only
أونلي كارماكوما	Only karmakuma
أونيكوما	Onikuma
أوي	accommodate
أي فوكس كرياشنس	IE Fox Creations
أي لايف	ILife
أيبيمي	IBeme
أيديجيكس	EDGEEX
أيرلدوم	Earldom
أيسر	Acer
أيكورا	Aikura
أيكونفلانج	Aikonflang
أيه أس أيه	ASA
أيه بي أو أف	ABOF
أيون أوديو	Ion Audio
إبيك جيمز	Epic Games
إتش بي	HP
إتش تي سي	HTC
إربوريان	Erborian
إس سي إي إي	SCE
إس كولور	S Color
إس. تي. ديبون	S. T. Debon
إسونماس	Esonmass
إسيوين	Isewen
إعادة شحن البطارية	Recharge the battery
إف أر - تيك	FR-Tech
إفولوشن ستوديوز	Evolution Studios
إكس بوكس	X-Box
إكس سيل	Ex torrent
إكسترايك-مي	Extra-me
إكسسوارات بومة	Owl accessories
إكسكويزت	Exquisit
إكسيد	oxide
إكسيل	Excel
إل جي	LG
إل دينو	El Dino
إل سي وايكيكي	LC Waikiki
إلجاتو	Elgato
إليانوير	Alienware
إليزابيث آردن	Elizabeth Arden
إليكسون	Alexon
إم أوديو	M Audio
إم إكس كيو برو	MXQ Pro
إم إي إي أوديو	ME Audio
إم اس أي	MSI
إم تون	Im ton
إمبكس	Impex
إمبوريا	Emporia
إمبوريو أرماني	Emporio Armani
إن كي أكس	NKX
إن واي إكس بروفشنال مايكاب	NYX Professional Makeup
إناك فاير	Inc Fire
إنتر جو	Inter Go
إنتروفيرجن سوفت وير	Enterovision Software
إنجو	Injoo
إندر	Indre
إندورا	Andorra
إنرجايزر	Energizer
إنسباير	Inspire
إنسومنياك	Insomniac
إنسومنياك جيمز	Insomniac Games
إنهانس	Enhance
إني كاست	Eni Cast
إنيا	Enya
إنيرجي سيستم	Energy System
إنيرجيا	Energia
إي أيه	EA
إي كيدز	E Kids
إي ورلد	E world
إيباد	IPAD
إيتون	Eaton
إيجيبشن ماجيك	Egyptian Magic
إيدمكس	Edmex
إيرني بول	Ernie Paul
إيست بوينت سبورتس	East Point Sports
إيست ليدي	East Lady
إيست من نون	East from Noon
إيسيت	ESET
إيسينشيال	Essential
إيفا	Eva
إيفري	Evry
إيفريتش	Everich
إيفولي	Evoly
إيفينت	Event
إيكايا	Ikaya
إيكوانتو	Equanto
إيم فل	Im fol
إيمارث	Emarth
إيمدج إنت.	Image Int.
إينارت	Ienart
إينت	Ent
إينو	Eno
إيه سكوير	A Square
إيه في إم	AVM
إيهوم	Ihum
إيوا	Yes
إيوفي	Iovey
إيونتو	Ionto
اديفير	Edifier
اس اس	Basis
اكاي بروفيشنال	Akai Professional
اكس باور	Xpower
اكساوبار	Exaobar
اكسكيزيت	Excess
الدب الروسي	the Russian bear
الصين	China
الفجر	Daybreak
اليكتا	Elekta
اميتويز	Amitoys
انتاري	Antary
انجل سيتي	Angel City
اورزلي	Orsley
اويفو	Oivo
ايبانيز	Ibanez
ايتود هاوس	Etude House
ايسنس	Essence
اينتكس	Intex
ايه إي لايف	AE Live
بابازام	Papazam
بابم	Babm
بات	has become
باتريوت	Patriot
بادلاند جيمز	Badland Games
بارادوكس	Paradox
بارلين	Parlin
باروك	baroque
باسيس	PACES
بافيلو	Buffalo
بافين	Baffin
باكو رابان	Paco Rabanne
بالادون	Paladon
بامبرز	Pampers
باناسونيك	Panasonic
بانج آند أولوفسن	Bang & Olufsen
باند-إت	Band-it
بانداي نامكو	Bandai Namco
باندريدج	Bandridge
باور أيه	Power a
باور بيم	PowerBeam
باورولوجي	Powerology
باوفينج	Baofeng
بايكرون	Bakeron
بايلي	Bailey
بايونير	Pioneer
ببجي كورب	PUBG Corp.
بج بن	Bj Bin
بخور	incense
براكتيكا	Practica
براند تشارجر	Brand Charger
براون	Brown
برايف سول	Brave Soul
بربري	barbaric
برستيج	Prestige
برودا	Broda
برودلينك	Broadlink
بروذر	Brother
بروكستون	Broxton
بروميت	Promate
برويل	Broil
بريز	Breeze
بريف	Brave
بريفيل	Breville
بريليانت سكين إسينشالز	Brilliant Skin Essentials
بريماكس	Premax
بريميفي	Premify
بستواي	Bestway
بفالو	Buffalo
بلاج آند بلاي	Plage & Play
بلاديوم	Palladium
بلاك اند ديكر	Black and Decker
بلاي ستيشن	Play Station
بلاي سيت	Play Set
بلو هول	Blue Hole
بلوس	Plus
بلوسي	Plossi
بلولانز	Bluelans
بلومينج باث	Blooming Bath
بليزارد إنترتاينمنت	Blizzard Entertainment
بوب كاب جيمز	Bob Cap Games
بوبو	Bobo
بوبو في آر	Bobo VR
بوجابو	Bugaboo
بودون	Bowdon
بودي سكلبتشر	Body Sculpture
بوردو	Bordeaux
بورو	Boro
بورودو	Borodo
بوز	Pose
بوس أوديو سيستمز	Boss Audio Systems
بوشرون	Boucheron
بول	Paul
بولغاري	Bvlgari
بولي فوني ديجيتال	Polyphony Digital
بوم بودز	Boom Buds
بوما	Puma
بووم بوكس	Boom Box
بويا	Boya
بي آر إس	Brs
بي إس	BS
بي إس4	BSN 4
بي إن واي	PNY
بي جي	BG
بي دي بي	BDB
بي في بي	PPV
بي كيوب	B Cube
بيانج	Biange
بيبانثين	Bepanthen
بيبي	Baby
بيبي بلس	Baby Plus
بيبي بول	Baby Paul
بيبي تريند	Baby Trend
بيبي سيف	Baby Saif
بيبي ليس	Babyliss
بيتا	Beta
بيتس	Bates
بيتي بومرز	Betty Boomers
بيتيت أيمي سكن كير	Petit Amy Skin Care
بيثيسدا	Bethesda
بيج بن	Big Ben
بيج بين إنترأكتيف	Big Ben Interactive
بيجون	Pigeon
بيراميد	Pyramide
بيرتس بيز	Burt's Biz
بيرجنر	Bergner
بيرسوناس	Personas
بيرفيي	Purvey
بيسون	Bison
بيسيتر	Bicetter
بيسيل	Bissell
بيلكين	Belkin
بيليكو	Pelico
بين كيو	Inter-que
بيند ستوديو	Bend Studio
بينكس	Binex
بيهرينغر	Behringer
بيوتي	Beauty
بيورأيديا	Pure Idea
بيونير دي جي	Pioneer DJ
بيوينتي	Beauenty
تاتش مت	Touch Matt
تاجتيك	Tagtek
تاكستار	Takstar
تاليونا	Taluna
تاما	Tama
تاي أي	Tye any
تايبو	Taibu
تايك تو	Take Too
تايم لايك	Time Like
تراندز	Trands
ترايب	Tribe
ترتل براند	Turtle Brand
ترتل بيتش	Turtle Beach
ترو بلو	True blue
تروساردي	Trussardi
ترونسمارت	Tronsmart
تريب تولز	Trip Tools
تريجر بوينت	Treasure Point
تريد مارك إنوفيشن	Want Mark Innovation
ترينديول	Trendyol
تشارج	Charge
تشارج 3	Charge 3
تشايلد هوم	Child Home
تشايلدز فارم	Childs Farm
تشاينا مايد	China Maid
تشويفو	Chuvu
تشي تشي لندن	Chi Chi London
تشيراب	Cherub
تكتينتير	Tekinter
تكنو	Techno
تلتيل جيمز	Telltale Games
توراتس	Torts
توشونكس	Touchonix
توشيبا	Toshiba
توشيونيكس	Tosunix
توفاست	Too Fast
توكوي	Tokoy
توم توب	Tom Top
توم فورد	Tom Ford
تومس	TOMS
تومشو	Tomsho
تومو	Tomo
تومي تيبي	Tommy Tippee
تومي جينز	Tommy Jeans
تومي هيلفيغر	Tommy Hilfiger
توينتيث سينشوري فوكس	Twentieth Century Fox
توينز سبيشيال	Twins Special
تى اتش كيو	THQ
تي أيه سبورت	TA Sports
تي أيه سبورتس	TA Sports
تي إتش كيو نورديك	THQ Nordic
تي باد	T iPad
تي بي - وايرليس	TP - Wireless
تي بي لينك	TP-Link
تي دي هوم	TD Home
تي سي إل	TCL
تي سي هيليكون	TC Helicon
تيفال	Tefal
تيك 2	Tech 2
تيليونيكس	Telonex
تيم 17	Tim 17
تيم نينجا	Tim Ninja
تيم6 غايم ستوديوز	Team 6 Game Studios
تينهو	Tenhu
تينيكس	Tenix
ثامبس أب	Thumbs Up
ثروستماستر	Thrustmaster
ثياتر سولوشنز	Theater Solutions
ثيرمال تيك	Thermaltake
جابرا	Jabra
جاجيا	Gagia
جاستروباك	Gastropack
جاك آند جونز	Jack and Jones
جاكلين دي يونج	Jacqueline de Young
جاكوار	Jaguar
جام أوديو	Jam Audio
جامبسي	Jumpy
جاميرتيك	Gamertek
جانسبورت	Jansport
جاي جون	Jay John
جاي رووم	Jay Room
جبو ريترو	GPU Retro
جتيبور	Gtipur
جراديو	Gradio
جراكو	Graco
جريتش	Gritch
جريلا	Grilla
جرين ويلث	Green Wealth
جس	Palpation
جلوريوس	Glorious
جن ميديا	Jenn Media
جنيو	GNU
جو برو	Go Pro
جو توي	Joe Toei
جوب	Job
جوجل	The Google
جودوكس	Godox
جورجيو أرماني	Giorgio Armani
جوردن	Jordan
جوريكس	Joerex
جوسي كوتور	Juicy Couture
جوسينهيل	Josinhill
جوش	Josh
جوفان	Jovan
جولد إيدج	Gold Edge
جوليكيت	Julikette
جونسون	Johnson
جونسون آند جونسون	Johnson & Johnson
جوواي	Goway
جوي	aerial
جوي كير	Joy Kerr
جوي واي	Joy Way
جويس أب	Joyce AB
جويو	Joyo
جي بي إل	GBL
جي تاب	G Tab
جي تي أوميغا	GT Omega
جي تيك	Gtech
جي يو بي	GUB
جي-تيك ديجيتال	G-Tech Digital
جيباس	Geepas
جيتوم	Jettum
جير بوكس	Gear Box
جيفتولوجي	Giftology
جيفنشي	Givenchy
جيكاي جيمز	Geekay Games
جيكو	Gecko
جيم تراست	Jim Trust
جيم سير	Jim Sir
جيمز آرتس	James Arts
جين جيم	Jane Jim
جينو	Gino
جينيلك	Genilk
حول الإمارات	Around the Emirates
خانكة	Khanka
د'اداريو	D'Adario
دابيلو كيه ديزاين	Dabello K Design
داتا فروج	Data Frog
دادا الرئيسية	Dada Home
دار الدواء	Medicine House
دار السلام	Dar AISalaam
دارك بلو	Dark blue
دارول قلم	Darroll Pen
داشبون	Dashbon
دافيدوف	Davidoff
داكوم	Dacom
دانهيل	Dunhill
داوسون سبتورتس	Dawson Sports
دايسون	Dyson
دبل	Double
دبليو أي أو آر	WWOR
دبليو إس تي	WST
دبليو بي جيمز	WB Games
دبليو كيه	WK
دريم جير	Dream Gear
دسبا	DSPA
دنلوب	Dunlop
دو دين	Do Dean
دوبي	Dobby
دوتز	Dutz
دودوكول	Dudukul
دوراسيل	Duracell
دوريكس	Durex
دوس	Dos
دوسيلف	Doself
دوف	Dove
دوكولر	Docooler
دولتشي آند غابانا	Dolce & Gabbana
دومبو	Dumbo
دوو إي آر	Doo ER
دي أم كيه باور	DMK Power
دي بلو	De Blue
دي تك	D Tech
دي لينك	D-Link
دي'فوغ	D'vog
ديب سيلفر	Deep Silver
ديجيتك	Digitec
ديركجي	Dirkji
ديرما	Derma
ديزني	Disney
ديسديل	Decdeal
ديسكافر	Discovery
ديسيني	Dessini
ديفوم	Divum
ديفياليت	Divialite
ديل	Dell
ديلز فور لس	Deals for Less
ديلونجي	Delonghi
ديناكورد	Dynacord
ديور	Dior
ديون لندن	Debt of London
ذا أثليت فوت	The Athlete Foot
ذا اورديناري	The Ordinary
ذا بودي شوب	The Body Shop
ذا فيرست ييرز	The First Years
ذا فيس شوب	The Face Shop
ذي بالم	The Palm
راج	Raj
رازور	Razor
راسيل هوبز	Russell Hobbs
راف باور	Rav Power
رصاصي	Leaden
رفيفيا	Revivia
رنتاستيك	Rentastic
روبرتو	Roberto
روبرتو كافالي	Roberto Cavalli
روبيك	Rubik
رود	Rod
روزويل	Roswell
روفيو	Rovio
روك	Rock
روك بو	Rock Bow
روك ستار جيمز	Rockstar Games
روكات	Roccat
روكفورد فوسجيت	Rockford Fusgate
روكيني	Rockini
رولاند	Roland
رولتون	Rollton
روليتا	Rolita
روما إيطاليا	Rome, Italy
روموس	Romoss
روندافول	Rondafull
روهز	RoHS
رويال بولار	Royal Polar
رويال فورد	Royal Ford
رويال مارك	Royal Mark
روين	Rowen
ريبوك	Reebok
ريبون	Ripon
ريبيليون ديفيلوبمنتس	Rebellion Developments
ريترو	Retro
ريجنت	Regent
ريدراجون	Redragon
ريدي آت دون	Reddy Coming Don
ريزر	Reiser
ريغال إن هاوس	Regal In House
ريفا باور	Riva Power
ريفاكيس	Rivacase
ريفرسونج	Riversong
ريفلون	Revlon
ريفوفلكس	Refoflex
ريفوليوشن	Revolution
ريل تكنيكس	Real Techniques
ريل مي	Real Me
ريماكس	Remax
ريماكس برودا	Remax Proda
ريمسون	Remson
ريمي ماركيز	Remy Marquis
ريميل لندن	Rimmel London
رينجك	Ringk
زاكيوريت	Zakiwirt
زد تي تي أو	ZTO
زد هيوز	Zed Hughes
زو تيونز	Zoo iTunes
زوت	Zoot
زوجس	Zogs
زوك	Zuck
زوكا	Zuka
زوم	zoom
زيرو	Zero
زيكو	Zico
زيلديجيان	Zeldijian
زيلوت	Zealot
زين هوم	Zain Home
زينة فاشون	Zina Fashion
زينديور	Zendure
زينماركت	Zenmarkt
زيون	Zion
ساب	Saab
سابو	Sabo
ساتشي	Saatchi
ساتلينك	Satlink
ساديس	Sadis
ساردين	Sardin
ساس آند بيل	SAS & Bell
ساكار	Sakar
ساكر بنش	Sacer Bench
سالي هانسن	Sally Hansen
سام باي مي	Sam By Mi
سامدي	Samdi
سامر إنفانت	Samer Infante
سامسونج	Samsung
سان وو	San Woo
سانثوم	Santhome
ساندبرغ	Sandberg
سانديسك	SanDisk
سانفورد	Sanford
سانهوم	Sanhome
سانو	Sano
ساوند بيتس	SoundBeats
ساوند كور	Soundcore
سايبر	Cyber
سايبر إنتر آكتيف	Cyber Interactive
سايبوريس	Cyboris
سبارنود فيتنيس	Sparnwood Fitness
سبال	Spall
سبالدينج	Spalding
سبايجن	Spigen
سبايك شونسوفت	Spike Shunsoft
سبورتس ريسيرش	Sports Research
سبيدو	Speedo
سبيلين	Sibelyne
ست	six
ستارسات	Starsat
ستايت 8	State 8
ستراي	Stray
ستوديو وايلد كارد	Wild Card Studio
ستيري بوتل	Steri Bottle
ستيف مادن	Steve Madden
ستيل سيريز	Steel Series
ستيلا مكارتني	Stella McCartney
ستيلث	Stealth
ستينتور	Stentor
سدرد	Sard
سكاي تاتش	Sky Touch
سكاي لاند	Sky Land
سكروس	Skross
سكلكاندي	Skalkandy
سكوير انيكس	Square Enix
سكيب هوب	Skip Hop
سكيتشرز	Skechers
سلايدز	Slides
سلة	Basket
سليبرات	Celebrat
سمارت 2030	Smart 2030
سمارت بيري	Smart Berry
سمالودي	Smallody
سماوة	Heaven
سمتوني	You called me
سندس	Sondos
سنهيسر	Sennheiser
سنيك بايت	Snakebyte
سواتر	Swatre
سوبر مان	Superman
سوبر-جي	Super-J
سودو	Sudo
سودو كريم	Sudo cream
سوزوكي	Suzuki
سوفينكس	Sofinex
سول	Sol
سولد أوت	Sold Out
سولو	Solo
سوناشي	Sonashi
سونوس	Sonos
سوني	Sony
سويت سويت	Sweet sweet
سويتش	Switch
سويديسكو	Suedesco
سويس ميليتري	Swiss Military
سويسبريسو	So espresso
سي آيديا	C Idea
سي أر دي سي	CRDC
سي أي جيمز	CI Games
سي دي بروجكت	CD Project
سي دي بروجكت ريد	CD Project Red
سي دي بيبي	CD Baby
سي فاشون جاليري	C Fashion Gallery
سيباميد	Sebamed
سيترونك	Citronic
سيتي إنترآكتف	City Interactive
سيثيريا	Sithria
سيجما بيوتي	Sigma Beauty
سيجواي	Segway
سيجيت	Seagate
سيرا في	Sira in
سيراكس	Serax
سيرين لايف	Serene Live
سيستم 3	System 3
سيغا	Sega
سيغنيت	Signet
سيفتي فيرست	Safety First
سيفي x دي‘اتيلير	SIVI x DEATTER MODE
سيكتور ناين	Sector Nine
سيكونيك	Cecik
سيلاريس	Sellaris
سيلولار لاين	Cellular Line
سيليكتد	Selected
سيمبا	Simba
سيمنز	Siemens
سينتوس	Centos
سيي	Sei
شارب	mustache
شاربدو	Sharpdo
شاركون	Participate
شاومي	Xiaomi
شتاينر	Steiner
شرطة دبي	Dubai Police
شركة ذا ناتشورال فاميلي	The Natural Family Company
شو إكسبريس	Shoexpress
شوبارد	Chopard
شور	Shore
شونج	Chung
شيكو	Shiko
صبر	patience
صدى	echo
صن رايز	Sun rise
صنفني	Rate me
صنفينو	Sannino
صوجي	Soji
طوكيوسات	Tokiosat
غارنييه	Garnier
غلاسلوك	GlassLock
غوتشي	Gucci
غوسبل	Gospel
فابينديا	Fabindia
فابينني	Show me
فات كات	Fat Cat
فارلين	Farlin
فاشون هوم	Fashion Home
فاكير	Fakir
فاكيلمان	Vackelman
فالكون	Falcon
فالكون آيز	Falcon Eyes
فالينسيا	Valencia
فام	Fam
فانتوم	Phantom
فانجو	Fango
فانز	Vans
فاين بيبي	Fine Baby
فرانز ساندنر	Franz Sandner
فرانكلين سبورتس	Franklin Sports
فروم سوفت وير	From Software
فرونتير	Frontier
فريت	Frit
فريجيدير	Frigidaire
فريدا بيبي	Frida Baby
فزون	Fazon
فكس	FX
فلاتسونز	Flatsons
فلاش هوك	Flash hook
فلانجر	Flanger
فلاي ديجي	Fly Digi
فلايت	Flight
فليكسي	Flexi
فليور	Fleur
فن	art
فن بوكس ميديا	Funbox Media
فوبيري	Voberry
فوجي فيلم	Fujifilm
فور إيفر52	Forever 52
فورإيفر	forever
فورميلر	Formiler
فوس كلاوس	Klaus Foss
فوسمون	Fosmon
فوكس كون	Fox Con
فوكس مالتي ميديا	Fox Multimedia
فوكس هوم إنترناشونال	Fox Home International
فوكّاس هوم إنتراكتف	Focus Home Interactive
فون سوت	Von Soot
فوولن فروتس	Foolen Fruits
في آر بوكس	VR Box
فيبروم	Vibrom
فيتبيت	Fitbit
فيتنس	Fitness
فيجا	Vega
فيجار	Vigar
فيجير	Veger
فيد	Vid
فيراري	Ferrari
فيرتوكس	Virtux
فيرزاتشي	Versace
فيرو مودا	Vero Moda
فيرونا	Verona
فيرونيكا	Veronica
فيستنايت	Festnite
فيسمان	Fisman
فيشمان	Fishman
فيشي	what is happening
فيفا مدريد	FIFA Madrid
فيفو	Vivo
فيفيتار	Vivitar
فيفين	Vivin
فيل فري	Phil Free
فيلاتو	Filato
فيلتروكس	Viltrox
فيليبس	Phillips
فيليبس أفنت	Philips Avent
فيلينجز	Feelings
فيندر	Fender
فينسوك	Vinsock
فينشن	Vention
فينود	Vinod
فينوم	Phenom
كابكوم	Capcom
كابل جايز	Cable Jays
كاتريس	Catrice
كاتشر	Catcher
كارتييه	Cartier
كارسون	Carson
كارولينا هيريرا	Carolina Herrera
كازو	Kazoo
كاسبرسكي	Kaspersky
كاسيو	Casio
كاكو	Kaku
كالاين	Caline
كالتاتش	Caltouch
كالفين كلاين جينز	Calvin Klein Jeans
كاليبسو	Calypso
كامزير	Kamzire
كاموفلاج	Camouflage
كانون	Canon
كايس ماتكس	Case Matex
كرست	Devoted
كرونوس ماكس	Cronus Max
كروني	Crony
كريب بروتكت	Protect Crepe
كريبتون	Krypton
كريتيف	Creative
كريد	Creed
كريستال ديجيتالز	Crystal Digital
كلاي	Clay
كلايتن	Clayton
كلفن كلاين	Calvin Klein
كلوي	renal
كليربلو	Clearblue
كليكون	Clikon
كلينيك	Clinique
كنترول فريك	Control Freak
كوانتيك دريم	Quantique Dream
كوبيك	Kopeks
كوتاهيا	Kutahya
كوتش	Kutch
كوتش ميديا	Coach Media
كوتون	Coton
كوتيتشي	Kotichi
كوتيس	Cotis
كوجار	Cougar
كود ماستر	Master Code
كورج	Korg
كورسير	Corsair
كوزي تريكس	Cozy Trix
كوشن إيتش	Kotion H
كوفيركينج	Coverking
كوكو ديزيرت	Coco Desert
كول إت سبرينج	Call It Spring
كول اند كول	Cole & Cool
كول بيبي	Cole Baby
كول تشارج	Cool Charge
كول ميوزك	Cool Music
كول هان	Cole Haan
كولر ماستر	Cooler Master
كوليرترون	Cholertron
كوميكا	Comica
كونامي	Konami
كونفرس	Converse
كونيكس	Connex
كوي تيكمو	Coy Tecmo
كويزينارت	CuisineArt
كياوكاي	QiaoKai
كيبل جايز	Cable Guys
كيت	Kate
كيت ساوند	Kate Sound
كيجر	Ciger
كيس	Bag
كيسونلي	Kissonly
كيف	How
كيكر	Kicker
كيكرلاند	Kicklander
كيمك ليمتد	KIMC Limited
كينج ستور	King Store
كينجلاك	Kingluck
كيندال + كيلي	Kendall + Kelly
كيندكس	Kendex
كينغستون	Kingston
كينوود	Kenwood
كينيث كول	Kenneth Cole
كيه آند إف كونسبت	K&F Concept
كيه كيه مون	KK Moon
كيو سي واي	QCY
كيوبيد	Cupid
كييبر	Keeeper
لا بيلا	No, Bella
لابرادا	Labrada
لابيرفا	Laperva
لاروش بوساي	La Roche-Posay
لاف	love
لافا	Lava
لاكوست	Lacoste
لاكيز أوف لندن	Lakys of London
لانج	Lang
لاند روفر	land Rover
لايف لاين	Live Line
لايل آند سكوت	Lyle & Scott
لتشير	To indicate
لطافة	Kindness
